time_berlin,price (MWh),demand (MW)
2021-03-15 00:00:00,40.67,50010.75
2021-03-15 01:00:00,37.01,48793.50
2021-03-15 02:00:00,36.07,48190.50
2021-03-15 03:00:00,35.03,48619.25
2021-03-15 04:00:00,33.26,50375.75
2021-03-15 05:00:00,40.69,53915.00
2021-03-15 06:00:00,55.60,61430.75
2021-03-15 07:00:00,62.47,66721.50
2021-03-15 08:00:00,64.89,70155.75
2021-03-15 09:00:00,61.55,71250.25
2021-03-15 10:00:00,55.05,72478.25
2021-03-15 11:00:00,50.42,73528.50
2021-03-15 12:00:00,47.98,73406.50
2021-03-15 13:00:00,45.20,72374.00
2021-03-15 14:00:00,40.77,70454.75
2021-03-15 15:00:00,39.52,69165.25
2021-03-15 16:00:00,42.61,68047.25
2021-03-15 17:00:00,50.60,68665.75
2021-03-15 18:00:00,61.97,70343.50
2021-03-15 19:00:00,67.82,70685.00
2021-03-15 20:00:00,59.93,66936.50
2021-03-15 21:00:00,55.90,63296.25
2021-03-15 22:00:00,50.76,60520.25
2021-03-15 23:00:00,46.86,56798.00
2021-03-16 00:00:00,45.46,54185.25
2021-03-16 01:00:00,44.76,52344.00
2021-03-16 02:00:00,44.77,51649.50
2021-03-16 03:00:00,43.08,52254.00
2021-03-16 04:00:00,44.10,54057.25
2021-03-16 05:00:00,47.40,57227.00
2021-03-16 06:00:00,59.10,63409.00
2021-03-16 07:00:00,66.29,68437.00
2021-03-16 08:00:00,68.92,71345.75
2021-03-16 09:00:00,62.49,71805.00
2021-03-16 10:00:00,59.93,72410.75
2021-03-16 11:00:00,58.62,73799.75
2021-03-16 12:00:00,54.84,72855.50
2021-03-16 13:00:00,48.08,71694.75
2021-03-16 14:00:00,48.61,70256.75
2021-03-16 15:00:00,52.98,68858.50
2021-03-16 16:00:00,59.99,67421.00
2021-03-16 17:00:00,65.96,67644.50
2021-03-16 18:00:00,70.70,69562.50
2021-03-16 19:00:00,77.71,70250.25
2021-03-16 20:00:00,61.40,66311.00
2021-03-16 21:00:00,56.01,62775.00
2021-03-16 22:00:00,53.88,59861.75
2021-03-16 23:00:00,49.19,55868.25
2021-03-17 00:00:00,46.14,52987.75
2021-03-17 01:00:00,45.47,51178.25
2021-03-17 02:00:00,44.45,50826.25
2021-03-17 03:00:00,44.40,51160.25
2021-03-17 04:00:00,45.39,52792.50
2021-03-17 05:00:00,48.83,56316.75
2021-03-17 06:00:00,53.81,62504.25
2021-03-17 07:00:00,63.21,67053.75
2021-03-17 08:00:00,64.00,69808.50
2021-03-17 09:00:00,62.55,70365.00
2021-03-17 10:00:00,57.51,71266.00
2021-03-17 11:00:00,59.57,71787.25
2021-03-17 12:00:00,54.82,71666.50
2021-03-17 13:00:00,51.69,70442.25
2021-03-17 14:00:00,50.31,69073.75
2021-03-17 15:00:00,49.95,68433.50
2021-03-17 16:00:00,55.64,67139.75
2021-03-17 17:00:00,66.20,67275.75
2021-03-17 18:00:00,77.79,69040.75
2021-03-17 19:00:00,85.00,70110.50
2021-03-17 20:00:00,69.28,65961.00
2021-03-17 21:00:00,64.55,62290.25
2021-03-17 22:00:00,62.46,59622.25
2021-03-17 23:00:00,60.46,56094.50
2021-03-18 00:00:00,51.12,53577.50
2021-03-18 01:00:00,49.56,51592.00
2021-03-18 02:00:00,48.17,50677.75
2021-03-18 03:00:00,47.94,51090.50
2021-03-18 04:00:00,47.03,52291.75
2021-03-18 05:00:00,51.53,55595.75
2021-03-18 06:00:00,66.05,61627.75
2021-03-18 07:00:00,79.15,66647.25
2021-03-18 08:00:00,78.34,69264.50
2021-03-18 09:00:00,75.00,69615.50
2021-03-18 10:00:00,69.51,70179.00
2021-03-18 11:00:00,68.00,70975.50
2021-03-18 12:00:00,65.31,70837.00
2021-03-18 13:00:00,62.21,69613.75
2021-03-18 14:00:00,61.15,68564.00
2021-03-18 15:00:00,62.90,68123.00
2021-03-18 16:00:00,64.53,67230.25
2021-03-18 17:00:00,75.22,67546.25
2021-03-18 18:00:00,88.99,69841.50
2021-03-18 19:00:00,98.71,70656.75
2021-03-18 20:00:00,70.91,66772.00
2021-03-18 21:00:00,61.90,63024.25
2021-03-18 22:00:00,60.12,60391.75
2021-03-18 23:00:00,53.23,56779.25
2021-03-19 00:00:00,61.12,53816.75
2021-03-19 01:00:00,56.24,51743.00
2021-03-19 02:00:00,50.89,51164.25
2021-03-19 03:00:00,48.50,51649.25
2021-03-19 04:00:00,50.00,53609.25
2021-03-19 05:00:00,52.10,56996.00
2021-03-19 06:00:00,67.02,62782.75
2021-03-19 07:00:00,71.55,68009.50
2021-03-19 08:00:00,71.53,70841.00
2021-03-19 09:00:00,64.10,71402.75
2021-03-19 10:00:00,50.42,72111.50
2021-03-19 11:00:00,45.31,72550.00
2021-03-19 12:00:00,44.53,71926.25
2021-03-19 13:00:00,43.50,70994.75
2021-03-19 14:00:00,43.16,69399.75
2021-03-19 15:00:00,43.53,68156.25
2021-03-19 16:00:00,47.67,66942.25
2021-03-19 17:00:00,55.58,67325.75
2021-03-19 18:00:00,65.96,68891.25
2021-03-19 19:00:00,72.99,69431.50
2021-03-19 20:00:00,66.40,65338.00
2021-03-19 21:00:00,61.99,61095.50
2021-03-19 22:00:00,60.64,58048.00
2021-03-19 23:00:00,60.11,54837.25
2021-03-20 00:00:00,58.82,51687.75
2021-03-20 01:00:00,55.74,49726.25
2021-03-20 02:00:00,56.35,48713.50
2021-03-20 03:00:00,50.81,48977.25
2021-03-20 04:00:00,50.00,48735.25
2021-03-20 05:00:00,51.03,49066.75
2021-03-20 06:00:00,52.54,49419.50
2021-03-20 07:00:00,56.72,52133.00
2021-03-20 08:00:00,53.36,55733.75
2021-03-20 09:00:00,51.29,58646.75
