time_berlin,price (MWh),demand (MW),temperature_2m_°C,wind_speed_100m_km/h,shortwave_radiation_W/m²
2019-12-30 00:00:00,11.07,44727.5,-1.6800000000000002,20.995,0.0
2019-12-30 01:00:00,11.84,42930.5,-1.855,20.675,0.0
2019-12-30 02:00:00,6.16,42332.5,-1.4300000000000002,22.26,0.0
2019-12-30 03:00:00,1.4,42342.0,-1.4999999999999996,21.785,0.0
2019-12-30 04:00:00,4.81,43367.5,-1.3600000000000003,22.154999999999998,0.0
2019-12-30 05:00:00,16.43,44737.5,-1.37,22.15,0.0
2019-12-30 06:00:00,26.9,47116.5,-1.2699999999999998,21.95,0.0
2019-12-30 07:00:00,30.38,50814.25,-1.295,21.68,0.0
2019-12-30 08:00:00,32.04,53785.0,-1.2250000000000003,21.9,0.0
2019-12-30 09:00:00,31.9,55540.25,-1.205,21.630000000000003,0.0
2019-12-30 10:00:00,29.06,55793.25,-0.7250000000000003,21.575,14.4
2019-12-30 11:00:00,26.94,56258.75,0.7749999999999998,21.12,85.9
2019-12-30 12:00:00,30.3,56298.5,2.58,20.165,168.0
2019-12-30 13:00:00,30.61,54971.5,4.42,19.425000000000004,231.6
2019-12-30 14:00:00,31.53,54327.25,4.815,19.79,247.45
2019-12-30 15:00:00,33.61,54625.75,5.35,19.705,223.2
2019-12-30 16:00:00,35.25,56860.0,4.965000000000002,20.575,158.25
2019-12-30 17:00:00,38.09,60522.5,3.28,21.885,69.25
2019-12-30 18:00:00,39.35,60918.25,2.0400000000000005,22.97,6.0
2019-12-30 19:00:00,31.58,59171.25,1.58,23.345,0.0
2019-12-30 20:00:00,30.68,56007.25,1.3299999999999996,23.935,0.0
2019-12-30 21:00:00,29.67,53727.5,1.025,24.08,0.0
2019-12-30 22:00:00,29.68,52206.0,0.7099999999999996,23.715,0.0
2019-12-30 23:00:00,24.33,48715.25,0.5899999999999999,24.06,0.0
2019-12-31 00:00:00,24.14,45458.25,0.5899999999999999,24.725,0.0
2019-12-31 01:00:00,22.12,43566.75,0.6749999999999999,24.865,0.0
2019-12-31 02:00:00,13.01,42540.5,1.095,24.78,0.0
2019-12-31 03:00:00,4.97,42404.5,1.045,24.629999999999995,0.0
2019-12-31 04:00:00,9.81,42948.5,1.1849999999999998,24.85,0.0
2019-12-31 05:00:00,18.37,43286.5,1.1250000000000004,24.275,0.0
2019-12-31 06:00:00,23.5,43684.0,1.105,24.74,0.0
2019-12-31 07:00:00,27.17,45892.25,1.19,24.29,0.0
2019-12-31 08:00:00,36.56,48526.25,1.15,22.575,0.0
2019-12-31 09:00:00,40.43,51207.5,1.035,22.135,0.0
2019-12-31 10:00:00,32.22,52809.75,1.155,20.985000000000003,13.15
2019-12-31 11:00:00,38.98,53873.5,2.1900000000000004,20.305000000000003,79.35
2019-12-31 12:00:00,38.6,53841.75,3.66,18.145,154.5
2019-12-31 13:00:00,37.9,52711.75,5.050000000000001,16.42,201.95
2019-12-31 14:00:00,38.0,51456.5,5.13,15.355,211.8
2019-12-31 15:00:00,39.58,50987.0,5.075000000000001,15.36,174.5
2019-12-31 16:00:00,42.28,52843.25,4.525,15.6,131.35
2019-12-31 17:00:00,46.06,55325.0,2.9850000000000003,16.134999999999998,57.65
2019-12-31 18:00:00,47.73,54635.0,1.2399999999999998,16.62,5.75
2019-12-31 19:00:00,46.0,52027.75,0.7350000000000001,17.449999999999996,0.0
2019-12-31 20:00:00,42.2,48993.5,0.53,17.785,0.0
2019-12-31 21:00:00,39.74,47230.0,1.3322676295501878e-16,17.645,0.0
2019-12-31 22:00:00,38.88,46790.25,-0.17,17.6,0.0
2019-12-31 23:00:00,37.39,44895.75,-0.4899999999999999,17.025,0.0
2020-01-01 00:00:00,41.88,43500.5,-0.8550000000000001,16.485000000000003,0.0
2020-01-01 01:00:00,38.6,42598.75,-1.015,16.61,0.0
2020-01-01 02:00:00,36.55,41463.75,-1.15,16.060000000000002,0.0
2020-01-01 03:00:00,32.32,40279.5,-1.355,16.53,0.0
2020-01-01 04:00:00,30.85,40264.75,-1.6149999999999998,16.355,0.0
2020-01-01 05:00:00,30.14,40017.75,-1.6650000000000005,16.46,0.0
2020-01-01 06:00:00,30.17,38959.25,-1.73,16.2,0.0
2020-01-01 07:00:00,30.0,39464.25,-1.895,16.229999999999997,0.0
2020-01-01 08:00:00,30.65,40177.75,-2.0550000000000006,15.860000000000005,0.0
2020-01-01 09:00:00,30.65,42374.0,-2.1700000000000004,15.745,0.0
2020-01-01 10:00:00,30.27,44553.0,-1.8400000000000003,15.98,14.75
2020-01-01 11:00:00,30.34,46662.25,-0.4550000000000002,14.814999999999998,86.65
2020-01-01 12:00:00,30.99,47989.0,0.92,12.855,167.8
2020-01-01 13:00:00,30.04,47723.25,2.05,11.52,224.25
2020-01-01 14:00:00,30.75,46133.25,2.35,11.005,245.4
2020-01-01 15:00:00,32.11,46275.25,2.35,10.645,205.1
2020-01-01 16:00:00,35.98,49069.75,1.775,11.535,150.95
2020-01-01 17:00:00,40.4,53047.75,0.0999999999999999,13.765,67.7
2020-01-01 18:00:00,44.05,53873.0,-1.245,15.115,5.85
2020-01-01 19:00:00,43.15,52635.75,-1.535,15.7,0.0
2020-01-01 20:00:00,43.45,50517.0,-1.895,16.665,0.0
2020-01-01 21:00:00,40.68,49120.5,-2.0900000000000003,17.475,0.0
2020-01-01 22:00:00,40.27,48205.0,-2.24,17.979999999999997,0.0
2020-01-01 23:00:00,34.85,45410.75,-2.33,18.16,0.0
2020-01-02 00:00:00,35.4,43971.75,-2.22,17.71,0.0
2020-01-02 01:00:00,31.98,42537.0,-2.3199999999999994,17.215000000000003,0.0
2020-01-02 02:00:00,30.5,41919.25,-1.7849999999999997,18.06,0.0
2020-01-02 03:00:00,28.79,41968.5,-2.315000000000001,18.35,0.0
2020-01-02 04:00:00,28.42,43068.0,-2.455,18.28,0.0
2020-01-02 05:00:00,28.75,45395.5,-2.5049999999999994,18.83,0.0
2020-01-02 06:00:00,34.16,49812.5,-2.515,19.275,0.0
2020-01-02 07:00:00,42.07,54798.25,-2.425,19.669999999999995,0.0
2020-01-02 08:00:00,44.89,58182.25,-2.385,19.53,0.0
2020-01-02 09:00:00,45.26,60124.25,-2.2950000000000004,19.255000000000003,0.0
2020-01-02 10:00:00,45.57,61127.5,-1.465,19.23,14.95
2020-01-02 11:00:00,45.09,61947.5,0.07,17.645000000000003,83.0
2020-01-02 12:00:00,45.16,62184.25,1.42,16.665000000000003,150.5
2020-01-02 13:00:00,44.9,61336.0,2.5500000000000003,15.64,197.2
2020-01-02 14:00:00,44.06,60372.75,2.6450000000000005,15.990000000000004,217.0
2020-01-02 15:00:00,44.84,60448.25,2.5449999999999995,17.015,176.55
2020-01-02 16:00:00,44.4,62291.0,2.135,18.37,124.4
2020-01-02 17:00:00,46.05,65235.0,1.105,20.564999999999998,55.55
2020-01-02 18:00:00,46.72,65359.25,0.27,22.38,5.6
2020-01-02 19:00:00,45.26,64001.0,0.0149999999999999,22.715,0.0
2020-01-02 20:00:00,39.32,60276.25,-0.1899999999999999,22.825,0.0
2020-01-02 21:00:00,34.06,57459.75,-0.2549999999999999,23.52,0.0
2020-01-02 22:00:00,32.22,55617.0,-0.215,23.905,0.0
2020-01-02 23:00:00,24.99,52142.0,-0.1750000000000002,24.35,0.0
2020-01-03 00:00:00,21.47,49155.0,-0.0600000000000001,24.585,0.0
2020-01-03 01:00:00,13.04,47681.5,0.1100000000000001,25.425,0.0
2020-01-03 02:00:00,1.53,46908.75,0.475,24.46,0.0
2020-01-03 03:00:00,0.14,46809.25,0.6850000000000002,25.605,0.0
2020-01-03 04:00:00,0.85,47711.75,0.93,27.4,0.0
2020-01-03 05:00:00,9.92,49822.0,1.2049999999999998,28.335000000000008,0.0
2020-01-03 06:00:00,24.48,53695.0,1.6,28.190000000000005,0.0
2020-01-03 07:00:00,26.68,57811.75,1.585,28.665000000000003,0.0
2020-01-03 08:00:00,28.81,60857.75,1.755,29.57,0.0
2020-01-03 09:00:00,29.28,62723.0,2.06,30.27500000000001,0.0
2020-01-03 10:00:00,28.85,63798.5,2.62,30.665,11.9
2020-01-03 11:00:00,31.8,65113.25,3.625,30.46,58.55
2020-01-03 12:00:00,37.94,65167.25,4.609999999999999,29.245,101.1
2020-01-03 13:00:00,37.9,63839.25,5.420000000000001,27.895,128.55
2020-01-03 14:00:00,38.11,62814.0,5.5600000000000005,27.320000000000004,133.3
2020-01-03 15:00:00,37.91,62309.0,5.6,28.415000000000003,99.1
2020-01-03 16:00:00,38.44,63170.0,5.275,29.860000000000003,72.5
2020-01-03 17:00:00,40.47,65163.25,5.04,29.45,27.0
2020-01-03 18:00:00,41.35,64905.0,4.980000000000001,30.6,2.65
2020-01-03 19:00:00,33.37,63035.25,5.01,31.245,0.0
2020-01-03 20:00:00,28.89,59327.0,4.574999999999999,30.934999999999995,0.0
2020-01-03 21:00:00,27.7,56056.75,4.295,30.374999999999996,0.0
2020-01-03 22:00:00,25.7,54497.75,4.105,30.14,0.0
2020-01-03 23:00:00,22.04,51471.25,4.0600000000000005,29.515000000000004,0.0
2020-01-04 00:00:00,22.9,48789.5,3.795,28.555,0.0
2020-01-04 01:00:00,15.95,46574.75,3.6150000000000007,28.289999999999992,0.0
2020-01-04 02:00:00,16.63,45663.5,3.45,27.129999999999995,0.0
2020-01-04 03:00:00,6.45,45277.25,3.0899999999999994,26.98,0.0
2020-01-04 04:00:00,3.83,46088.25,2.9300000000000006,26.685,0.0
2020-01-04 05:00:00,0.12,46622.5,2.7949999999999995,26.84,0.0
2020-01-04 06:00:00,0.07,47058.75,2.700000000000001,26.57,0.0
2020-01-04 07:00:00,19.07,49918.25,2.605,27.05,0.0
2020-01-04 08:00:00,17.49,53055.75,2.42,27.675000000000004,0.0
2020-01-04 09:00:00,23.98,56442.5,2.37,28.290000000000003,0.0
2020-01-04 10:00:00,8.8,59194.25,2.585,28.855,6.7
2020-01-04 11:00:00,17.95,60810.25,2.9650000000000003,29.315,30.9
2020-01-04 12:00:00,19.5,61593.0,3.2950000000000004,30.08,63.8
