timestamp,datetime_berlin,price,demand
1756677600000,2025-09-01 00:00:00,84.08,40908.00
1756681200000,2025-09-01 01:00:00,81.43,39470.75
1756684800000,2025-09-01 02:00:00,80.97,38771.25
1756688400000,2025-09-01 03:00:00,80.03,38893.00
1756692000000,2025-09-01 04:00:00,81.37,39839.25
1756695600000,2025-09-01 05:00:00,92.58,43184.25
1756699200000,2025-09-01 06:00:00,120.43,50226.25
1756702800000,2025-09-01 07:00:00,125.67,55297.25
1756706400000,2025-09-01 08:00:00,116.10,59176.25
1756710000000,2025-09-01 09:00:00,98.19,61532.50
1756713600000,2025-09-01 10:00:00,82.00,62762.00
1756717200000,2025-09-01 11:00:00,69.40,63247.75
1756720800000,2025-09-01 12:00:00,38.27,61728.50
1756724400000,2025-09-01 13:00:00,25.03,59857.00
1756728000000,2025-09-01 14:00:00,42.73,59951.25
1756731600000,2025-09-01 15:00:00,67.76,58998.50
1756735200000,2025-09-01 16:00:00,84.67,57012.00
1756738800000,2025-09-01 17:00:00,109.70,56947.00
1756742400000,2025-09-01 18:00:00,155.32,56306.75
1756746000000,2025-09-01 19:00:00,250.65,55843.75
1756749600000,2025-09-01 20:00:00,210.56,54783.50
1756753200000,2025-09-01 21:00:00,125.20,52200.00
1756756800000,2025-09-01 22:00:00,112.40,48763.00
1756760400000,2025-09-01 23:00:00,100.53,45826.00
1756764000000,2025-09-02 00:00:00,95.01,44256.25
1756767600000,2025-09-02 01:00:00,90.11,42986.75
1756771200000,2025-09-02 02:00:00,90.84,41941.00
1756774800000,2025-09-02 03:00:00,92.50,42057.00
1756778400000,2025-09-02 04:00:00,94.80,43166.25
1756782000000,2025-09-02 05:00:00,106.85,46419.00
1756785600000,2025-09-02 06:00:00,134.39,52801.75
1756789200000,2025-09-02 07:00:00,153.67,56568.75
1756792800000,2025-09-02 08:00:00,147.48,60240.75
1756796400000,2025-09-02 09:00:00,121.05,61680.50
1756800000000,2025-09-02 10:00:00,102.14,62267.00
1756803600000,2025-09-02 11:00:00,84.66,62965.75
1756807200000,2025-09-02 12:00:00,78.94,61613.50
1756810800000,2025-09-02 13:00:00,79.73,60286.50
1756814400000,2025-09-02 14:00:00,78.54,58491.00
1756818000000,2025-09-02 15:00:00,84.37,58312.25
1756821600000,2025-09-02 16:00:00,95.00,57116.75
1756825200000,2025-09-02 17:00:00,108.97,57888.00
1756828800000,2025-09-02 18:00:00,173.16,57652.00
1756832400000,2025-09-02 19:00:00,311.51,57056.25
1756836000000,2025-09-02 20:00:00,263.79,56124.25
1756839600000,2025-09-02 21:00:00,140.92,53881.25
1756843200000,2025-09-02 22:00:00,110.47,50986.00
1756846800000,2025-09-02 23:00:00,91.21,48165.50
1756850400000,2025-09-03 00:00:00,97.25,45312.50
1756854000000,2025-09-03 01:00:00,90.74,43653.00
1756857600000,2025-09-03 02:00:00,85.95,42879.00
1756861200000,2025-09-03 03:00:00,81.72,43371.50
1756864800000,2025-09-03 04:00:00,81.23,44046.50
1756868400000,2025-09-03 05:00:00,86.97,47418.25
1756872000000,2025-09-03 06:00:00,103.20,53834.25
1756875600000,2025-09-03 07:00:00,112.34,57781.25
1756879200000,2025-09-03 08:00:00,109.13,61070.00
1756882800000,2025-09-03 09:00:00,85.30,61771.00
1756886400000,2025-09-03 10:00:00,29.04,63506.75
1756890000000,2025-09-03 11:00:00,0.03,64046.50
1756893600000,2025-09-03 12:00:00,-0.10,63592.75
1756897200000,2025-09-03 13:00:00,-0.10,62000.00
1756900800000,2025-09-03 14:00:00,-0.28,60250.00
1756904400000,2025-09-03 15:00:00,0.00,59887.25
1756908000000,2025-09-03 16:00:00,3.89,59498.00
1756911600000,2025-09-03 17:00:00,63.46,59366.75
1756915200000,2025-09-03 18:00:00,102.35,59478.00
1756918800000,2025-09-03 19:00:00,110.92,58421.25
1756922400000,2025-09-03 20:00:00,104.00,57856.25
1756926000000,2025-09-03 21:00:00,94.17,55365.75
1756929600000,2025-09-03 22:00:00,80.68,51197.75
1756933200000,2025-09-03 23:00:00,54.25,48013.00
1756936800000,2025-09-04 00:00:00,21.65,45853.00
1756940400000,2025-09-04 01:00:00,17.70,44340.00
