timestamp,datetime_berlin,price (MWh),demand (MW)
1757282400000,2025-09-08 00:00:00,79.66,40503.25
1757286000000,2025-09-08 01:00:00,85.74,38965.75
1757289600000,2025-09-08 02:00:00,84.70,38222.25
1757293200000,2025-09-08 03:00:00,82.27,38519.25
1757296800000,2025-09-08 04:00:00,83.79,39737.75
1757300400000,2025-09-08 05:00:00,95.60,44102.00
1757304000000,2025-09-08 06:00:00,109.90,51714.75
1757307600000,2025-09-08 07:00:00,148.14,55638.75
1757311200000,2025-09-08 08:00:00,125.53,59965.00
1757314800000,2025-09-08 09:00:00,102.05,62081.50
1757318400000,2025-09-08 10:00:00,85.83,62534.75
1757322000000,2025-09-08 11:00:00,76.14,61991.50
1757325600000,2025-09-08 12:00:00,65.35,61069.50
1757329200000,2025-09-08 13:00:00,60.84,60933.25
1757332800000,2025-09-08 14:00:00,69.65,59985.25
1757336400000,2025-09-08 15:00:00,78.46,885854.50
1757340000000,2025-09-08 16:00:00,99.72,58291.00
1757343600000,2025-09-08 17:00:00,124.28,58407.25
1757347200000,2025-09-08 18:00:00,196.61,57567.50
1757350800000,2025-09-08 19:00:00,413.66,56425.75
1757354400000,2025-09-08 20:00:00,308.52,55533.25
1757358000000,2025-09-08 21:00:00,152.00,53043.25
1757361600000,2025-09-08 22:00:00,123.93,49147.00
1757365200000,2025-09-08 23:00:00,113.12,46235.75
1757368800000,2025-09-09 00:00:00,114.52,44622.50
1757372400000,2025-09-09 01:00:00,112.46,43063.00
1757376000000,2025-09-09 02:00:00,110.35,42235.75
1757379600000,2025-09-09 03:00:00,109.80,42377.75
1757383200000,2025-09-09 04:00:00,110.86,43233.75
1757386800000,2025-09-09 05:00:00,118.18,46516.75
1757390400000,2025-09-09 06:00:00,182.39,53222.25
1757394000000,2025-09-09 07:00:00,300.00,57446.50
1757397600000,2025-09-09 08:00:00,196.98,60951.75
1757401200000,2025-09-09 09:00:00,127.59,56489.50
1757404800000,2025-09-09 10:00:00,101.73,64495.75
